#,
#,"Australian Bureau of Meteorology"
#,"Short term streamflow forecasts"
#,
#,"hourly_barplot_ens"
#,
#,"Ovens River at Wangaratta (403242A)"
#,"Catchment area:", 5138.1,"km^2"
#,
#,"For more information see http://reg.bom.gov.au/water/stf"
#,
#,"Note: these forecasts are automatically generated from "
#,"computer models for the primary purpose of assisting "
#,"decisions in water management. Please see the "
#,"National flood forecasting and warning service "
#,"(http://www.bom.gov.au/australia/flood/) for all latest "
#,"flood forecasts and warnings."
#,
#,"These products are subject to the Bureau's copyright and "
#,"disclaimer policies."
#,"http://www.bom.gov.au/other/copyright.shtml"
#,"http://www.bom.gov.au/other/disclaimer.shtml"
#,
Time,Observed Rainfall (mm/hour),Forecast Rainfall Median (mm/hour),Observed Streamflow (ML/day),Forecast Streamflow 5th PCTL (ML/day),Forecast Streamflow 25th PCTL (ML/day),Forecast Streamflow Median (ML/day),Forecast Streamflow 75th PCTL (ML/day),Forecast Streamflow 95th PCTL (ML/day),Historical Reference 5th PCTL (ML/day),Historical Reference 25th PCTL (ML/day),Historical Reference 75th PCTL (ML/day),Historical Reference 95th PCTL (ML/day)
2022-11-29 11:00 AEDT,0.00,-,13245.81,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-29 12:00 AEDT,0.00,-,13147.83,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-29 13:00 AEDT,0.00,-,13091.85,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-29 14:00 AEDT,0.00,-,13000.87,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-29 15:00 AEDT,0.00,-,12909.89,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-29 16:00 AEDT,0.00,-,12818.91,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-29 17:00 AEDT,0.00,-,12755.92,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-29 18:00 AEDT,0.00,-,12669.96,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-29 19:00 AEDT,0.00,-,12627.96,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-29 20:00 AEDT,0.00,-,12555.99,-,-,-,-,-,62.40,530.60,2132.09,7752.72
