#,
#,"Australian Bureau of Meteorology"
#,"Short term streamflow forecasts"
#,
#,"hourly_barplot_ens"
#,
#,"Ovens River at Wangaratta (403242A)"
#,"Catchment area:", 5138.1,"km^2"
#,
#,"For more information see http://reg.bom.gov.au/water/stf"
#,
#,"Note: these forecasts are automatically generated from "
#,"computer models for the primary purpose of assisting "
#,"decisions in water management. Please see the "
#,"National flood forecasting and warning service "
#,"(http://www.bom.gov.au/australia/flood/) for all latest "
#,"flood forecasts and warnings."
#,
#,"These products are subject to the Bureau's copyright and "
#,"disclaimer policies."
#,"http://www.bom.gov.au/other/copyright.shtml"
#,"http://www.bom.gov.au/other/disclaimer.shtml"
#,
Time,Observed Rainfall (mm/hour),Forecast Rainfall Median (mm/hour),Observed Streamflow (ML/day),Forecast Streamflow 5th PCTL (ML/day),Forecast Streamflow 25th PCTL (ML/day),Forecast Streamflow Median (ML/day),Forecast Streamflow 75th PCTL (ML/day),Forecast Streamflow 95th PCTL (ML/day),Historical Reference 5th PCTL (ML/day),Historical Reference 25th PCTL (ML/day),Historical Reference 75th PCTL (ML/day),Historical Reference 95th PCTL (ML/day)
2022-11-29 21:00 AEDT,0.00,-,12478.06,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-29 22:00 AEDT,0.00,-,12442.12,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-29 23:00 AEDT,0.00,-,12376.11,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 00:00 AEDT,0.00,-,12304.22,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 01:00 AEDT,0.00,-,12238.21,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 02:00 AEDT,0.00,-,12172.29,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 03:00 AEDT,0.00,-,12118.29,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 04:00 AEDT,0.00,-,12058.33,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 05:00 AEDT,0.00,-,12004.24,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 06:00 AEDT,0.00,-,11956.21,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 07:00 AEDT,0.00,-,11878.10,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 08:00 AEDT,0.00,-,11812.09,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 09:00 AEDT,0.00,-,11758.09,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 10:00 AEDT,0.00,-,11686.03,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 11:00 AEDT,0.00,-,11637.91,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 12:00 AEDT,0.00,-,11577.86,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 13:00 AEDT,0.00,-,11499.84,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 14:00 AEDT,0.00,-,11469.86,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 15:00 AEDT,0.00,-,11414.82,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 16:00 AEDT,0.00,-,11374.82,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 17:00 AEDT,0.00,-,11304.75,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 18:00 AEDT,0.00,-,11279.69,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 19:00 AEDT,0.00,-,11239.69,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 20:00 AEDT,0.00,-,11184.65,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 21:00 AEDT,0.00,-,11129.62,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 22:00 AEDT,0.00,-,11099.64,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-11-30 23:00 AEDT,0.00,-,11039.59,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 00:00 AEDT,0.00,-,11009.61,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 01:00 AEDT,0.01,-,10939.62,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 02:00 AEDT,0.00,-,10903.68,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 03:00 AEDT,0.00,-,10867.65,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 04:00 AEDT,0.00,-,10807.69,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 05:00 AEDT,0.00,-,10759.74,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 06:00 AEDT,0.01,-,10723.79,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 07:00 AEDT,0.00,-,10657.79,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 08:00 AEDT,0.00,-,10609.83,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 09:00 AEDT,0.00,-,10561.88,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 10:00 AEDT,0.00,-,10507.88,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 11:00 AEDT,0.00,-,10453.97,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 12:00 AEDT,0.00,-,10389.95,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 13:00 AEDT,0.00,-,10354.95,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 14:00 AEDT,0.00,-,10304.93,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 15:00 AEDT,0.00,-,10264.92,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 16:00 AEDT,0.00,-,10219.91,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 17:00 AEDT,0.00,-,10184.83,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 18:00 AEDT,0.00,-,10139.82,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 19:00 AEDT,0.00,-,10089.79,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 20:00 AEDT,0.00,-,10044.78,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 21:00 AEDT,0.00,-,10019.81,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 22:00 AEDT,0.00,-,9984.73,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-01 23:00 AEDT,0.00,-,9944.73,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 00:00 AEDT,0.00,-,9899.71,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 01:00 AEDT,0.00,-,9864.03,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 02:00 AEDT,0.00,-,9828.35,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 03:00 AEDT,0.00,-,9787.56,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 04:00 AEDT,0.00,-,9751.88,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 05:00 AEDT,0.00,-,9716.20,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 06:00 AEDT,0.00,-,9675.42,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 07:00 AEDT,0.00,-,9655.03,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 08:00 AEDT,0.00,-,9614.25,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 09:00 AEDT,0.00,-,9578.56,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 10:00 AEDT,0.00,-,9537.78,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 11:00 AEDT,0.00,-,9476.61,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 12:00 AEDT,0.00,-,9440.93,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 13:00 AEDT,0.00,-,9400.15,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 14:00 AEDT,0.00,-,9360.58,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 15:00 AEDT,0.00,-,9321.35,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 16:00 AEDT,0.00,-,9277.29,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 17:00 AEDT,0.00,-,9238.06,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 18:00 AEDT,0.00,-,9203.76,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 19:00 AEDT,0.00,-,9169.55,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 20:00 AEDT,0.00,-,9135.24,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 21:00 AEDT,0.00,-,9115.63,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 22:00 AEDT,0.00,-,9086.26,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-02 23:00 AEDT,0.00,-,9056.79,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 00:00 AEDT,0.00,-,9017.65,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 01:00 AEDT,0.00,-,8988.28,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 02:00 AEDT,0.00,-,8953.98,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 03:00 AEDT,0.00,-,8929.44,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 04:00 AEDT,0.00,-,8909.83,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 05:00 AEDT,0.00,-,8876.56,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 06:00 AEDT,0.01,-,8853.06,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 07:00 AEDT,0.00,-,8824.90,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 08:00 AEDT,0.00,-,8782.56,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 09:00 AEDT,0.00,-,8759.06,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 10:00 AEDT,0.00,-,8721.48,-,-,-,-,-,62.40,530.60,2132.09,7752.72
2022-12-03 11:00 AEDT,-,0.00,-,8721.48,8721.48,8721.48,8721.48,8721.48,62.40,530.60,2132.09,7752.72
2022-12-03 12:00 AEDT,-,0.00,-,8589.20,8654.08,8684.32,8711.37,8944.04,62.40,530.60,2132.09,7752.72
2022-12-03 13:00 AEDT,-,0.00,-,8356.00,8607.43,8652.87,8696.51,9018.61,62.40,530.60,2132.09,7752.72
2022-12-03 14:00 AEDT,-,0.00,-,8189.68,8562.24,8619.87,8677.76,9072.95,62.40,530.60,2132.09,7752.72
2022-12-03 15:00 AEDT,-,0.00,-,8114.86,8496.23,8579.43,8657.63,9198.58,62.40,530.60,2132.09,7752.72
2022-12-03 16:00 AEDT,-,0.00,-,8011.35,8437.22,8549.97,8648.12,9189.59,62.40,530.60,2132.09,7752.72
2022-12-03 17:00 AEDT,-,0.00,-,7920.46,8377.95,8524.31,8648.64,9207.82,62.40,530.60,2132.09,7752.72
2022-12-03 18:00 AEDT,-,0.00,-,7849.18,8331.29,8484.74,8642.85,9157.02,62.40,530.60,2132.09,7752.72
2022-12-03 19:00 AEDT,-,0.00,-,7760.10,8280.32,8459.86,8650.97,9227.09,62.40,530.60,2132.09,7752.72
2022-12-03 20:00 AEDT,-,0.00,-,7662.21,8227.53,8423.31,8639.91,9240.22,62.40,530.60,2132.09,7752.72
2022-12-03 21:00 AEDT,-,0.00,-,7563.80,8164.71,8390.30,8624.10,9295.78,62.40,530.60,2132.09,7752.72
2022-12-03 22:00 AEDT,-,0.00,-,7476.97,8093.87,8362.05,8639.57,9264.59,62.40,530.60,2132.09,7752.72
2022-12-03 23:00 AEDT,-,0.00,-,7417.96,8075.55,8335.01,8634.38,9348.48,62.40,530.60,2132.09,7752.72
2022-12-04 00:00 AEDT,-,0.00,-,7358.08,8015.33,8299.32,8617.88,9340.44,62.40,530.60,2132.09,7752.72
2022-12-04 01:00 AEDT,-,0.00,-,7219.41,7926.51,8255.43,8598.44,9316.17,62.40,530.60,2132.09,7752.72
2022-12-04 02:00 AEDT,-,0.00,-,7150.90,7865.42,8218.45,8605.44,9350.81,62.40,530.60,2132.09,7752.72
2022-12-04 03:00 AEDT,-,0.00,-,6983.63,7845.98,8218.71,8598.01,9593.42,62.40,530.60,2132.09,7752.72
2022-12-04 04:00 AEDT,-,0.00,-,7013.35,7799.33,8202.99,8631.19,9783.68,62.40,530.60,2132.09,7752.72
2022-12-04 05:00 AEDT,-,0.00,-,6914.51,7742.91,8187.26,8666.09,9980.84,62.40,530.60,2132.09,7752.72
2022-12-04 06:00 AEDT,-,0.00,-,6868.71,7720.36,8179.40,8708.86,10138.35,62.40,530.60,2132.09,7752.72
2022-12-04 07:00 AEDT,-,0.00,-,6828.19,7677.85,8186.66,8786.10,10324.11,62.40,530.60,2132.09,7752.72
2022-12-04 08:00 AEDT,-,0.00,-,6761.32,7621.00,8148.90,8831.64,10351.58,62.40,530.60,2132.09,7752.72
2022-12-04 09:00 AEDT,-,0.00,-,6608.99,7599.66,8124.88,8916.22,10571.30,62.40,530.60,2132.09,7752.72
2022-12-04 10:00 AEDT,-,0.00,-,6493.48,7591.45,8106.05,8951.73,10717.49,62.40,530.60,2132.09,7752.72
2022-12-04 11:00 AEDT,-,0.00,-,6294.93,7532.27,8103.89,9011.09,10908.17,62.40,530.60,2132.09,7752.72
2022-12-04 12:00 AEDT,-,0.00,-,6215.44,7440.16,8091.88,9149.67,11194.67,62.40,530.60,2132.09,7752.72
2022-12-04 13:00 AEDT,-,0.00,-,6160.58,7363.35,8056.71,9095.41,11428.73,62.40,530.60,2132.09,7752.72
2022-12-04 14:00 AEDT,-,0.00,-,6072.54,7283.09,8020.25,9164.62,11577.43,62.40,530.60,2132.09,7752.72
2022-12-04 15:00 AEDT,-,0.00,-,5883.58,7138.19,8021.20,9138.61,11739.34,62.40,530.60,2132.09,7752.72
2022-12-04 16:00 AEDT,-,0.00,-,5771.26,7059.14,7977.74,9159.61,11808.20,62.40,530.60,2132.09,7752.72
2022-12-04 17:00 AEDT,-,0.00,-,5610.64,7013.43,7941.28,9186.91,12064.72,62.40,530.60,2132.09,7752.72
2022-12-04 18:00 AEDT,-,0.00,-,5472.23,6951.14,7879.08,9160.04,12112.76,62.40,530.60,2132.09,7752.72
2022-12-04 19:00 AEDT,-,0.00,-,5356.37,6879.60,7826.28,9102.24,12534.05,62.40,530.60,2132.09,7752.72
2022-12-04 20:00 AEDT,-,0.00,-,5244.91,6792.42,7737.29,9185.10,12638.16,62.40,530.60,2132.09,7752.72
2022-12-04 21:00 AEDT,-,0.00,-,5147.45,6704.29,7695.39,9196.50,12891.48,62.40,530.60,2132.09,7752.72
2022-12-04 22:00 AEDT,-,0.00,-,5080.58,6618.15,7679.49,9155.46,13033.61,62.40,530.60,2132.09,7752.72
2022-12-04 23:00 AEDT,-,0.00,-,4955.64,6492.53,7674.57,9183.80,13183.43,62.40,530.60,2132.09,7752.72
2022-12-05 00:00 AEDT,-,0.00,-,4829.33,6417.19,7634.04,9178.70,13068.86,62.40,530.60,2132.09,7752.72
2022-12-05 01:00 AEDT,-,0.00,-,4745.00,6373.56,7535.72,9218.79,13156.73,62.40,530.60,2132.09,7752.72
2022-12-05 02:00 AEDT,-,0.00,-,4665.08,6298.65,7423.23,9255.43,13232.33,62.40,530.60,2132.09,7752.72
2022-12-05 03:00 AEDT,-,0.00,-,4546.28,6217.43,7324.04,9092.30,13254.19,62.40,530.60,2132.09,7752.72
2022-12-05 04:00 AEDT,-,0.00,-,4455.48,6109.43,7258.55,9162.81,13514.08,62.40,530.60,2132.09,7752.72
2022-12-05 05:00 AEDT,-,0.00,-,4384.11,5977.41,7261.83,9170.24,13795.06,62.40,530.60,2132.09,7752.72
2022-12-05 06:00 AEDT,-,0.06,-,4268.51,5871.74,7198.68,9079.17,14027.73,62.40,530.60,2132.09,7752.72
2022-12-05 07:00 AEDT,-,0.06,-,4182.02,5805.48,7188.31,9198.92,14641.08,62.40,530.60,2132.09,7752.72
2022-12-05 08:00 AEDT,-,0.06,-,4125.77,5700.84,7086.53,9129.97,14268.53,62.40,530.60,2132.09,7752.72
2022-12-05 09:00 AEDT,-,0.08,-,4016.04,5654.79,7021.56,9056.97,14270.08,62.40,530.60,2132.09,7752.72
2022-12-05 10:00 AEDT,-,0.08,-,3876.34,5572.28,7007.64,9079.00,14373.24,62.40,530.60,2132.09,7752.72
2022-12-05 11:00 AEDT,-,0.08,-,3757.71,5499.71,6945.35,9040.64,14774.40,62.40,530.60,2132.09,7752.72
2022-12-05 12:00 AEDT,-,0.06,-,3674.59,5419.44,6892.30,9047.12,14843.95,62.40,530.60,2132.09,7752.72
2022-12-05 13:00 AEDT,-,0.06,-,3633.29,5322.67,6829.66,9064.83,14942.97,62.40,530.60,2132.09,7752.72
2022-12-05 14:00 AEDT,-,0.06,-,3543.96,5248.89,6771.60,9099.30,15589.76,62.40,530.60,2132.09,7752.72
2022-12-05 15:00 AEDT,-,0.05,-,3407.01,5201.11,6716.30,9025.52,15807.66,62.40,530.60,2132.09,7752.72
2022-12-05 16:00 AEDT,-,0.05,-,3360.01,5136.39,6631.46,8857.21,15819.58,62.40,530.60,2132.09,7752.72
2022-12-05 17:00 AEDT,-,0.05,-,3322.86,5080.23,6561.22,8785.93,16049.23,62.40,530.60,2132.09,7752.72
2022-12-05 18:00 AEDT,-,0.01,-,3238.19,5058.72,6545.06,8730.37,16159.74,62.40,530.60,2132.09,7752.72
2022-12-05 19:00 AEDT,-,0.01,-,3191.44,5019.67,6463.84,8700.83,16634.25,62.40,530.60,2132.09,7752.72
2022-12-05 20:00 AEDT,-,0.01,-,3129.58,4946.83,6374.94,8630.58,16618.87,62.40,530.60,2132.09,7752.72
2022-12-05 21:00 AEDT,-,0.00,-,3139.00,4876.24,6332.43,8591.18,16561.07,62.40,530.60,2132.09,7752.72
2022-12-05 22:00 AEDT,-,0.00,-,3099.77,4827.77,6325.08,8540.04,16550.53,62.40,530.60,2132.09,7752.72
2022-12-05 23:00 AEDT,-,0.00,-,3079.99,4739.04,6237.91,8539.34,16989.26,62.40,530.60,2132.09,7752.72
2022-12-06 00:00 AEDT,-,0.00,-,2946.76,4697.48,6138.29,8580.90,16623.96,62.40,530.60,2132.09,7752.72
2022-12-06 01:00 AEDT,-,0.00,-,2893.62,4587.41,6102.35,8499.77,16647.12,62.40,530.60,2132.09,7752.72
2022-12-06 02:00 AEDT,-,0.00,-,2835.73,4556.04,6075.22,8469.45,16309.73,62.40,530.60,2132.09,7752.72
2022-12-06 03:00 AEDT,-,0.00,-,2772.06,4523.73,6029.94,8518.87,16456.52,62.40,530.60,2132.09,7752.72
2022-12-06 04:00 AEDT,-,0.00,-,2731.88,4524.51,5967.91,8499.95,16605.47,62.40,530.60,2132.09,7752.72
2022-12-06 05:00 AEDT,-,0.00,-,2691.79,4459.97,5928.25,8636.80,16710.28,62.40,530.60,2132.09,7752.72
2022-12-06 06:00 AEDT,-,0.00,-,2630.10,4418.76,5993.05,8656.59,16814.91,62.40,530.60,2132.09,7752.72
2022-12-06 07:00 AEDT,-,0.00,-,2533.59,4404.41,5983.72,8527.25,16974.58,62.40,530.60,2132.09,7752.72
2022-12-06 08:00 AEDT,-,0.00,-,2482.53,4360.69,5988.38,8677.24,17114.72,62.40,530.60,2132.09,7752.72
2022-12-06 09:00 AEDT,-,0.00,-,2468.28,4313.43,5973.09,8646.91,17659.38,62.40,530.60,2132.09,7752.72
2022-12-06 10:00 AEDT,-,0.00,-,2389.48,4256.41,5985.62,8850.21,17892.84,62.40,530.60,2132.09,7752.72
2022-12-06 11:00 AEDT,-,0.00,-,2358.03,4234.72,5915.98,8677.76,18410.80,62.40,530.60,2132.09,7752.72
2022-12-06 12:00 AEDT,-,0.00,-,2325.37,4255.46,5924.88,8729.42,18675.10,62.40,530.60,2132.09,7752.72
2022-12-06 13:00 AEDT,-,0.00,-,2295.22,4179.69,5999.53,8514.81,19075.65,62.40,530.60,2132.09,7752.72
2022-12-06 14:00 AEDT,-,0.00,-,2264.89,4174.85,5973.78,8567.42,19601.48,62.40,530.60,2132.09,7752.72
2022-12-06 15:00 AEDT,-,0.00,-,2253.05,4107.28,5938.19,8347.88,20237.64,62.40,530.60,2132.09,7752.72
2022-12-06 16:00 AEDT,-,0.00,-,2242.51,4038.60,5897.84,8687.09,20504.97,62.40,530.60,2132.09,7752.72
2022-12-06 17:00 AEDT,-,0.00,-,2230.93,4003.08,5906.04,8558.18,20663.25,62.40,530.60,2132.09,7752.72
2022-12-06 18:00 AEDT,-,0.00,-,2217.46,3957.12,5776.62,8647.86,20715.52,62.40,530.60,2132.09,7752.72
2022-12-06 19:00 AEDT,-,0.00,-,2168.81,3936.64,5810.66,8542.71,19572.28,62.40,530.60,2132.09,7752.72
2022-12-06 20:00 AEDT,-,0.00,-,2135.55,3848.17,5808.07,8587.90,19949.85,62.40,530.60,2132.09,7752.72
2022-12-06 21:00 AEDT,-,0.00,-,2107.73,3816.81,5849.97,8574.42,19862.76,62.40,530.60,2132.09,7752.72
2022-12-06 22:00 AEDT,-,0.00,-,2067.98,3778.01,5825.00,8771.85,19995.98,62.40,530.60,2132.09,7752.72
2022-12-06 23:00 AEDT,-,0.00,-,2058.74,3744.58,5697.99,8844.51,20121.61,62.40,530.60,2132.09,7752.72
2022-12-07 00:00 AEDT,-,0.00,-,1971.91,3688.76,5615.48,8925.47,19851.52,62.40,530.60,2132.09,7752.72
2022-12-07 01:00 AEDT,-,0.00,-,1928.36,3623.18,5607.96,8900.41,20608.99,62.40,530.60,2132.09,7752.72
2022-12-07 02:00 AEDT,-,0.00,-,1888.01,3573.07,5683.56,8744.98,21002.80,62.40,530.60,2132.09,7752.72
2022-12-07 03:00 AEDT,-,0.00,-,1887.06,3538.86,5659.20,8665.06,21210.42,62.40,530.60,2132.09,7752.72
2022-12-07 04:00 AEDT,-,0.00,-,1875.40,3516.91,5698.17,8802.69,21133.70,62.40,530.60,2132.09,7752.72
2022-12-07 05:00 AEDT,-,0.00,-,1820.28,3477.17,5665.85,8766.92,20832.85,62.40,530.60,2132.09,7752.72
2022-12-07 06:00 AEDT,-,0.00,-,1808.70,3455.05,5625.16,8692.70,20566.05,62.40,530.60,2132.09,7752.72
2022-12-07 07:00 AEDT,-,0.00,-,1764.20,3472.59,5590.77,8665.57,21385.81,62.40,530.60,2132.09,7752.72
2022-12-07 08:00 AEDT,-,0.00,-,1723.42,3445.89,5617.30,8640.78,21145.28,62.40,530.60,2132.09,7752.72
2022-12-07 09:00 AEDT,-,0.00,-,1687.31,3395.61,5618.51,8593.69,20989.15,62.40,530.60,2132.09,7752.72
2022-12-07 10:00 AEDT,-,0.00,-,1668.04,3351.54,5601.48,8531.14,21840.36,62.40,530.60,2132.09,7752.72
2022-12-07 11:00 AEDT,-,0.00,-,1669.33,3323.72,5578.85,8554.64,22147.52,62.40,530.60,2132.09,7752.72
2022-12-07 12:00 AEDT,-,0.00,-,1641.17,3251.23,5540.66,8490.96,21967.89,62.40,530.60,2132.09,7752.72
2022-12-07 13:00 AEDT,-,0.00,-,1633.13,3222.12,5435.25,8333.02,21639.74,62.40,530.60,2132.09,7752.72
2022-12-07 14:00 AEDT,-,0.00,-,1613.26,3175.98,5218.82,8333.63,21469.45,62.40,530.60,2132.09,7752.72
2022-12-07 15:00 AEDT,-,0.00,-,1569.28,3197.40,5319.13,8469.19,21393.07,62.40,530.60,2132.09,7752.72
2022-12-07 16:00 AEDT,-,0.00,-,1535.76,3152.30,5304.44,8388.23,21363.01,62.40,530.60,2132.09,7752.72
2022-12-07 17:00 AEDT,-,0.00,-,1499.47,3131.83,5253.98,8406.37,21180.53,62.40,530.60,2132.09,7752.72
2022-12-07 18:00 AEDT,-,0.01,-,1467.16,3076.79,5271.96,8440.07,21070.19,62.40,530.60,2132.09,7752.72
2022-12-07 19:00 AEDT,-,0.01,-,1441.32,3042.66,5273.60,8514.72,21041.16,62.40,530.60,2132.09,7752.72
2022-12-07 20:00 AEDT,-,0.01,-,1436.05,3006.29,5281.80,8448.80,21753.53,62.40,530.60,2132.09,7752.72
2022-12-07 21:00 AEDT,-,0.00,-,1381.88,2962.48,5244.39,8513.68,21627.99,62.40,530.60,2132.09,7752.72
2022-12-07 22:00 AEDT,-,0.00,-,1347.58,2935.61,5186.76,8531.05,21388.58,62.40,530.60,2132.09,7752.72
2022-12-07 23:00 AEDT,-,0.00,-,1310.52,2901.05,5180.54,8579.69,21196.77,62.40,530.60,2132.09,7752.72
2022-12-08 00:00 AEDT,-,0.00,-,1267.49,2892.84,5104.17,8539.26,21066.48,62.40,530.60,2132.09,7752.72
2022-12-08 01:00 AEDT,-,0.00,-,1239.49,2824.59,5048.35,8471.61,20895.93,62.40,530.60,2132.09,7752.72
2022-12-08 02:00 AEDT,-,0.00,-,1224.72,2851.63,4947.44,8425.90,21431.95,62.40,530.60,2132.09,7752.72
2022-12-08 03:00 AEDT,-,0.00,-,1213.83,2831.50,4892.31,8464.61,21684.50,62.40,530.60,2132.09,7752.72
